index,Store_ID,month,Dept,Weekly_Sales,CPI,Unemployment
169,1,2,5,26468.27,211.29,8.11
170,1,2,13,37857.68,211.29,8.11
171,1,2,67,16411.69,211.29,8.11
172,2,2,87,31662.95,210.95,8.32
173,2,2,38,93181.36,210.95,8.32
174,2,2,92,170825.81,210.95,8.32
175,2,2,18,18259.40,210.95,8.32
176,2,2,80,28233.48,210.95,8.32
177,1,2,32,20275.45,211.29,8.11
178,1,2,40,68569.53,211.29,8.11
179,1,2,14,17491.36,211.29,8.11
180,1,2,16,13855.54,211.29,8.11
181,1,2,95,107952.07,211.29,8.11
182,1,2,25,10271.25,211.29,8.11
183,2,2,3,14607.28,210.95,8.32
184,1,2,22,12290.16,211.29,8.11
185,1,2,26,10547.60,211.29,8.11
186,1,2,1,41595.55,211.29,8.11
187,2,2,49,18008.47,210.95,8.32
188,2,2,95,136044.84,210.95,8.32
189,2,2,98,17494.74,210.95,8.32
190,2,2,58,24276.00,210.95,8.32
191,2,2,32,28629.44,210.95,8.32
192,2,2,79,37692.86,210.95,8.32
193,1,2,46,22414.94,211.29,8.11
194,2,2,74,22038.04,210.95,8.32
195,2,2,10,38889.43,210.95,8.32
196,2,2,55,21728.65,210.95,8.32
197,1,2,87,33593.80,211.29,8.11
198,2,2,2,70853.58,210.95,8.32
199,1,2,55,17404.53,211.29,8.11
200,1,2,8,38717.60,211.29,8.11
201,1,2,17,13485.61,211.29,8.11
202,1,2,18,17623.72,211.29,8.11
203,1,2,9,15880.85,211.29,8.11
204,1,2,79,34141.62,211.29,8.11
205,1,2,97,31585.78,211.29,8.11
206,1,2,7,19985.20,211.29,8.11
207,1,2,3,11523.47,211.29,8.11
208,1,2,4,36826.95,211.29,8.11
209,1,2,11,18706.21,211.29,8.11
210,1,2,91,63011.44,211.29,8.11
211,1,2,10,29634.13,211.29,8.11
212,1,2,34,13006.50,211.29,8.11
213,2,2,91,83761.86,210.95,8.32
214,2,2,82,23184.90,210.95,8.32
215,2,2,97,38142.37,210.95,8.32
216,2,2,21,12645.93,210.95,8.32
217,2,2,17,18650.87,210.95,8.32
218,2,2,25,17803.75,210.95,8.32
219,2,2,11,19504.74,210.95,8.32
220,2,2,96,29022.90,210.95,8.32
221,1,2,92,135066.75,211.29,8.11
222,2,2,40,89782.95,210.95,8.32
223,2,2,93,61551.04,210.95,8.32
224,1,2,80,15918.98,211.29,8.11
225,2,2,5,31620.12,210.95,8.32
226,1,2,72,72377.79,211.29,8.11
227,1,2,23,21381.85,211.29,8.11
228,1,2,82,20195.20,211.29,8.11
229,1,2,94,72212.32,211.29,8.11
230,1,2,81,28784.91,211.29,8.11
231,1,2,74,13917.20,211.29,8.11
232,1,2,38,98672.59,211.29,8.11
233,2,2,4,46131.14,210.95,8.32
234,2,2,16,11495.54,210.95,8.32
235,1,2,98,12087.95,211.29,8.11
236,2,2,67,24871.53,210.95,8.32
237,2,2,6,10592.63,210.95,8.32
238,2,2,22,16502.25,210.95,8.32
239,2,2,29,11228.01,210.95,8.32
240,1,2,93,62581.64,211.29,8.11
241,1,2,2,47928.89,211.29,8.11
242,1,2,49,16736.17,211.29,8.11
243,1,2,90,76091.36,211.29,8.11
244,2,2,1,58221.52,210.95,8.32
245,2,2,46,31354.92,210.95,8.32
246,2,2,94,90239.09,210.95,8.32
247,1,2,9,15175.52,211.32,8.11
248,1,2,97,28457.31,211.32,8.11
249,1,2,98,10871.74,211.32,8.11
250,2,2,80,25901.56,210.98,8.32
251,2,2,79,34018.03,210.98,8.32
252,2,2,97,35833.09,210.98,8.32
253,2,2,17,16339.18,210.98,8.32
254,2,2,74,18011.70,210.98,8.32
255,2,2,55,14907.51,210.98,8.32
256,2,2,49,17831.27,210.98,8.32
257,2,2,16,12558.37,210.98,8.32
258,2,2,95,131326.73,210.98,8.32
259,1,2,23,17798.37,211.32,8.11
260,1,2,13,37467.32,211.32,8.11
261,1,2,3,11135.17,211.32,8.11
262,2,2,82,20352.71,210.98,8.32
263,2,2,11,19397.41,210.98,8.32
264,2,2,87,24085.90,210.98,8.32
265,2,2,98,14456.55,210.98,8.32
266,2,2,96,27284.02,210.98,8.32
267,2,2,25,13153.25,210.98,8.32
268,2,2,3,15635.95,210.98,8.32
269,2,2,5,26394.97,210.98,8.32
270,2,2,9,24049.15,210.98,8.32
271,2,2,7,24275.91,210.98,8.32
272,2,2,2,64963.90,210.98,8.32
273,2,2,93,57055.68,210.98,8.32
274,2,2,1,25962.32,210.98,8.32
275,2,2,26,10098.66,210.98,8.32
276,2,2,81,29834.16,210.98,8.32
277,2,2,10,41137.74,210.98,8.32
278,2,2,40,87027.09,210.98,8.32
279,2,2,58,19473.00,210.98,8.32
280,2,2,38,109233.51,210.98,8.32
281,2,2,34,19738.31,210.98,8.32
282,2,2,8,61875.48,210.98,8.32
283,1,2,79,33309.85,211.32,8.11
284,1,2,17,10667.06,211.32,8.11
285,1,2,93,57630.02,211.32,8.11
286,1,2,55,16708.10,211.32,8.11
287,1,2,34,12005.00,211.32,8.11
288,1,2,82,19023.33,211.32,8.11
289,1,2,1,19403.54,211.32,8.11
290,1,2,81,28213.79,211.32,8.11
291,2,2,72,80052.12,210.98,8.32
292,2,2,14,23585.55,210.98,8.32
293,2,2,22,14974.46,210.98,8.32
294,2,2,21,12108.36,210.98,8.32
295,2,2,92,159343.06,210.98,8.32
296,2,2,23,24557.74,210.98,8.32
297,2,2,4,42126.71,210.98,8.32
298,1,2,87,32299.49,211.32,8.11
299,1,2,72,55590.73,211.32,8.11
300,1,2,10,27921.96,211.32,8.11
301,1,2,25,10218.67,211.32,8.11
302,1,2,2,44292.87,211.32,8.11
303,1,2,74,13330.89,211.32,8.11
304,2,2,13,50308.00,210.98,8.32
305,2,2,94,64588.46,210.98,8.32
306,2,2,67,10085.53,210.98,8.32
307,2,2,46,28812.00,210.98,8.32
308,1,2,5,24101.89,211.32,8.11
309,1,2,38,92755.59,211.32,8.11
310,1,2,92,125048.08,211.32,8.11
311,1,2,90,71718.48,211.32,8.11
312,1,2,14,16118.26,211.32,8.11
313,1,2,11,17306.61,211.32,8.11
314,1,2,16,12881.02,211.32,8.11
315,2,2,90,95404.18,210.98,8.32
316,2,2,91,79680.54,210.98,8.32
317,1,2,40,64328.29,211.32,8.11
318,1,2,4,34660.16,211.32,8.11
319,1,2,91,57335.17,211.32,8.11
320,1,2,80,15673.94,211.32,8.11
321,1,2,94,55501.07,211.32,8.11
322,1,2,7,17224.22,211.32,8.11
323,1,2,8,35318.20,211.32,8.11
324,1,2,49,16245.13,211.32,8.11
325,1,2,46,18099.75,211.32,8.11
326,1,2,95,103652.58,211.32,8.11
327,2,3,25,14656.50,211.01,8.32
328,2,3,14,24936.90,211.01,8.32
329,2,3,80,25925.08,211.01,8.32
330,2,3,67,10943.14,211.01,8.32
331,2,3,3,14895.96,211.01,8.32
332,2,3,5,28609.08,211.01,8.32
333,2,3,74,24050.85,211.01,8.32
334,2,3,90,97319.46,211.01,8.32
335,1,3,8,38776.09,211.35,8.11
336,1,3,1,21827.90,211.35,8.11
337,1,3,11,19082.90,211.35,8.11
338,1,3,97,31576.47,211.35,8.11
339,1,3,4,38086.19,211.35,8.11
340,2,3,87,29758.29,211.01,8.32
341,2,3,13,52696.93,211.01,8.32
342,2,3,38,116410.09,211.01,8.32
343,2,3,58,31304.91,211.01,8.32
344,1,3,38,108282.86,211.35,8.11
345,2,3,96,29584.45,211.01,8.32
346,2,3,26,11353.56,211.01,8.32
347,2,3,79,44780.46,211.01,8.32
348,2,3,11,21422.84,211.01,8.32
349,2,3,55,15770.26,211.01,8.32
350,2,3,91,83098.30,211.01,8.32
351,1,3,95,112807.75,211.35,8.11
352,1,3,79,42931.77,211.35,8.11
353,1,3,55,16120.04,211.35,8.11
354,1,3,94,59201.37,211.35,8.11
355,1,3,9,24064.70,211.35,8.11
356,1,3,13,40423.95,211.35,8.11
357,1,3,23,18993.69,211.35,8.11
358,1,3,98,10903.65,211.35,8.11
359,1,3,3,12275.58,211.35,8.11
360,2,3,7,29442.87,211.01,8.32
361,2,3,21,12268.19,211.01,8.32
362,2,3,81,31887.20,211.01,8.32
363,2,3,34,20783.30,211.01,8.32
364,2,3,72,84174.89,211.01,8.32
365,2,3,4,46937.81,211.01,8.32
366,1,3,90,78081.85,211.35,8.11
367,1,3,25,10345.50,211.35,8.11
368,1,3,93,63550.08,211.35,8.11
369,1,3,16,17129.81,211.35,8.11
370,1,3,2,48397.98,211.35,8.11
371,1,3,81,29957.47,211.35,8.11
372,1,3,72,65525.74,211.35,8.11
373,1,3,46,20565.45,211.35,8.11
374,1,3,92,132945.44,211.35,8.11
375,1,3,14,18268.78,211.35,8.11
376,1,3,34,12571.50,211.35,8.11
377,1,3,7,19659.70,211.35,8.11
378,2,3,82,20593.56,211.01,8.32
379,2,3,10,39883.50,211.01,8.32
380,2,3,95,139609.52,211.01,8.32
381,1,3,49,16445.28,211.35,8.11
382,1,3,80,15680.71,211.35,8.11
383,1,3,40,67000.83,211.35,8.11
384,2,3,16,21957.34,211.01,8.32
385,2,3,93,61029.14,211.01,8.32
386,2,3,94,66209.43,211.01,8.32
387,2,3,40,88933.14,211.01,8.32
388,1,3,10,33299.27,211.35,8.11
389,1,3,82,19974.91,211.35,8.11
390,1,3,5,23082.14,211.35,8.11
391,2,3,92,163301.25,211.01,8.32
392,2,3,46,30954.27,211.01,8.32
393,2,3,9,29094.00,211.01,8.32
394,2,3,8,67041.18,211.01,8.32
395,2,3,2,68428.64,211.01,8.32
396,2,3,98,14087.85,211.01,8.32
397,2,3,97,37393.40,211.01,8.32
398,1,3,74,13824.33,211.35,8.11
399,1,3,12,10239.06,211.35,8.11
400,2,3,1,27372.05,211.01,8.32
401,2,3,22,15641.52,211.01,8.32
402,2,3,23,23409.21,211.01,8.32
403,2,3,49,17217.06,211.01,8.32
404,2,3,32,11863.21,211.01,8.32
405,2,3,17,16338.14,211.01,8.32
406,1,3,91,62755.71,211.35,8.11
407,1,3,87,30800.98,211.35,8.11
408,1,3,17,12657.65,211.35,8.11
409,2,3,1,28660.87,211.04,8.32
410,2,3,79,37316.15,211.04,8.32
411,2,3,9,31571.20,211.04,8.32
412,2,3,34,21128.69,211.04,8.32
413,2,3,10,39602.57,211.04,8.32
414,2,3,2,66622.03,211.04,8.32
415,2,3,87,23946.24,211.04,8.32
416,2,3,4,42489.21,211.04,8.32
417,2,3,16,25826.56,211.04,8.32
418,2,3,13,48536.59,211.04,8.32
419,2,3,23,24705.59,211.04,8.32
420,1,3,10,28208.00,211.38,8.11
421,1,3,8,34342.64,211.38,8.11
422,1,3,92,124418.65,211.38,8.11
423,2,3,46,28886.51,211.04,8.32
424,2,3,25,16055.25,211.04,8.32
425,2,3,82,20318.56,211.04,8.32
426,1,3,13,35833.07,211.38,8.11
427,1,3,22,10372.48,211.38,8.11
428,1,3,17,12793.17,211.38,8.11
429,2,3,95,142935.50,211.04,8.32
430,2,3,49,16527.33,211.04,8.32
431,1,3,4,32668.67,211.38,8.11
432,1,3,72,45046.81,211.38,8.11
433,1,3,16,23766.82,211.38,8.11
434,1,3,14,15331.75,211.38,8.11
435,1,3,87,18911.79,211.38,8.11
436,1,3,93,63593.12,211.38,8.11
437,1,3,81,29272.13,211.38,8.11
438,2,3,32,12247.04,211.04,8.32
439,2,3,58,20054.00,211.04,8.32
440,2,3,92,164055.80,211.04,8.32
441,2,3,21,11849.63,211.04,8.32
442,2,3,11,20672.91,211.04,8.32
443,2,3,5,35103.72,211.04,8.32
444,2,3,17,15135.48,211.04,8.32
445,2,3,26,11071.30,211.04,8.32
446,2,3,74,18846.86,211.04,8.32
447,2,3,7,27494.27,211.04,8.32
448,2,3,67,10030.28,211.04,8.32
449,2,3,22,13264.44,211.04,8.32
450,2,3,72,67389.21,211.04,8.32
451,2,3,91,83691.77,211.04,8.32
452,2,3,14,19373.80,211.04,8.32
453,2,3,38,172794.20,211.04,8.32
454,2,3,8,63800.16,211.04,8.32
455,2,3,94,66517.69,211.04,8.32
456,2,3,40,84593.20,211.04,8.32
457,2,3,96,29349.83,211.04,8.32
458,2,3,90,97478.89,211.04,8.32
459,2,3,93,62930.14,211.04,8.32
460,2,3,55,18360.91,211.04,8.32
461,2,3,81,31610.78,211.04,8.32
462,1,3,23,17426.63,211.38,8.11
463,1,3,11,17864.32,211.38,8.11
464,1,3,80,14708.62,211.38,8.11
465,1,3,97,31197.12,211.38,8.11
466,1,3,25,10705.75,211.38,8.11
467,2,3,80,27074.01,211.04,8.32
468,2,3,3,13061.56,211.04,8.32
469,2,3,98,14334.02,211.04,8.32
470,1,3,34,11709.00,211.38,8.11
471,1,3,90,73943.62,211.38,8.11
472,1,3,7,21529.14,211.38,8.11
473,1,3,95,112048.41,211.38,8.11
474,1,3,91,63668.62,211.38,8.11
475,1,3,2,43751.94,211.38,8.11
476,1,3,98,10819.46,211.38,8.11
477,1,3,82,18201.88,211.38,8.11
478,1,3,40,59799.42,211.38,8.11
479,1,3,74,12253.40,211.38,8.11
480,1,3,12,12386.15,211.38,8.11
481,1,3,9,25605.58,211.38,8.11
482,1,3,94,61326.35,211.38,8.11
483,1,3,49,13267.50,211.38,8.11
484,1,3,38,98175.35,211.38,8.11
485,1,3,79,31669.24,211.38,8.11
486,1,3,3,10123.45,211.38,8.11
487,1,3,1,21043.39,211.38,8.11
488,1,3,5,21498.92,211.38,8.11
489,1,3,55,14410.07,211.38,8.11
490,1,3,46,18114.67,211.38,8.11
491,2,3,97,38810.15,211.04,8.32
492,2,3,67,10771.23,210.87,8.32
493,2,3,7,33700.33,210.87,8.32
494,2,3,92,159140.47,210.87,8.32
495,2,3,4,44622.56,210.87,8.32
496,2,3,90,96277.59,210.87,8.32
497,2,3,98,13637.56,210.87,8.32
498,2,3,87,23225.17,210.87,8.32
499,2,3,95,144219.98,210.87,8.32
500,1,3,40,57384.35,211.22,8.11
501,1,3,82,18348.98,211.22,8.11
502,1,3,5,22632.57,211.22,8.11
503,1,3,49,11201.00,211.22,8.11
504,1,3,55,14590.87,211.22,8.11
505,2,3,22,13551.46,210.87,8.32
506,2,3,93,63191.57,210.87,8.32
507,2,3,1,28446.92,210.87,8.32
508,2,3,14,20236.78,210.87,8.32
509,2,3,80,26736.15,210.87,8.32
510,2,3,81,32060.11,210.87,8.32
511,1,3,93,62781.44,211.22,8.11
512,2,3,16,45310.90,210.87,8.32
513,2,3,82,22053.47,210.87,8.32
514,2,3,9,44918.36,210.87,8.32
515,2,3,56,13069.16,210.87,8.32
516,1,3,10,33731.81,211.22,8.11
517,1,3,12,12917.55,211.22,8.11
518,1,3,91,63250.87,211.22,8.11
519,1,3,46,18317.46,211.22,8.11
520,1,3,11,19738.42,211.22,8.11
521,1,3,81,30287.91,211.22,8.11
522,1,3,8,34188.52,211.22,8.11
523,2,3,72,65447.61,210.87,8.32
524,2,3,26,11206.35,210.87,8.32
525,2,3,13,48346.27,210.87,8.32
526,2,3,3,10394.28,210.87,8.32
527,2,3,46,28519.39,210.87,8.32
528,2,3,38,98552.33,210.87,8.32
529,1,3,94,64718.53,211.22,8.11
530,2,3,2,64307.01,210.87,8.32
531,2,3,8,60353.60,210.87,8.32
532,2,3,79,33381.47,210.87,8.32
533,1,3,87,28002.01,211.22,8.11
534,1,3,9,33367.99,211.22,8.11
535,1,3,74,11792.55,211.22,8.11
536,1,3,17,11097.80,211.22,8.11
537,1,3,92,127434.37,211.22,8.11
538,1,3,23,20132.03,211.22,8.11
539,1,3,25,12213.50,211.22,8.11
540,1,3,34,13394.00,211.22,8.11
541,1,3,1,22136.64,211.22,8.11
542,1,3,7,22711.59,211.22,8.11
543,2,3,17,16941.45,210.87,8.32
544,2,3,25,17283.75,210.87,8.32
545,2,3,97,38430.92,210.87,8.32
546,2,3,94,70182.94,210.87,8.32
547,2,3,58,19818.00,210.87,8.32
548,2,3,34,20021.66,210.87,8.32
549,2,3,96,31676.11,210.87,8.32
550,2,3,11,18002.46,210.87,8.32
551,2,3,32,12965.23,210.87,8.32
552,1,3,79,32604.49,211.22,8.11
553,1,3,90,76760.92,211.22,8.11
554,1,3,38,71165.72,211.22,8.11
555,1,3,72,41069.55,211.22,8.11
556,1,3,14,12738.78,211.22,8.11
557,1,3,13,36807.21,211.22,8.11
558,1,3,95,117716.13,211.22,8.11
559,2,3,40,83065.51,210.87,8.32
560,2,3,5,33232.94,210.87,8.32
561,2,3,74,18825.60,210.87,8.32
562,2,3,91,85120.30,210.87,8.32
563,1,3,2,43615.49,211.22,8.11
564,1,3,97,31733.15,211.22,8.11
565,2,3,55,17573.29,210.87,8.32
566,2,3,23,23955.93,210.87,8.32
567,2,3,49,17005.65,210.87,8.32
568,2,3,10,43471.99,210.87,8.32
569,1,3,16,41742.21,211.22,8.11
570,1,3,80,15871.19,211.22,8.11
571,1,3,4,34118.11,211.22,8.11
572,1,3,98,11323.78,211.22,8.11
573,1,3,56,11836.32,211.22,8.11
574,2,3,21,12110.53,210.87,8.32
575,2,3,38,96659.43,210.68,8.32
576,2,3,2,59770.18,210.68,8.32
577,1,3,40,57837.28,211.02,8.11
578,1,3,3,10366.85,211.02,8.11
579,1,3,87,23926.34,211.02,8.11
580,1,3,81,29871.06,211.02,8.11
581,1,3,2,41892.55,211.02,8.11
582,1,3,25,13876.50,211.02,8.11
583,1,3,16,26679.52,211.02,8.11
584,1,3,79,29223.39,211.02,8.11
585,1,3,91,55614.69,211.02,8.11
586,1,3,5,38971.89,211.02,8.11
587,2,3,97,34674.41,210.68,8.32
588,2,3,74,15309.67,210.68,8.32
589,2,3,16,22084.09,210.68,8.32
590,2,3,98,14165.73,210.68,8.32
591,2,3,1,32213.99,210.68,8.32
592,2,3,3,12406.44,210.68,8.32
593,2,3,58,22231.00,210.68,8.32
594,2,3,7,25149.21,210.68,8.32
595,1,3,12,11865.53,211.02,8.11
596,2,3,25,16632.75,210.68,8.32
597,2,3,23,22541.17,210.68,8.32
598,2,3,72,59243.04,210.68,8.32
599,2,3,17,13164.03,210.68,8.32
600,2,3,8,55825.44,210.68,8.32
601,2,3,82,17823.07,210.68,8.32
602,1,3,46,16803.77,211.02,8.11
603,1,3,38,95855.41,211.02,8.11
604,1,3,4,33872.07,211.02,8.11
605,2,3,67,10373.82,210.68,8.32
606,2,3,21,10845.70,210.68,8.32
607,2,3,13,43150.33,210.68,8.32
608,2,3,81,28639.43,210.68,8.32
609,1,3,82,16479.16,211.02,8.11
610,1,3,49,11310.40,211.02,8.11
611,1,3,98,10063.69,211.02,8.11
612,2,3,22,10029.49,210.68,8.32
613,2,3,94,65562.38,210.68,8.32
614,2,3,14,18939.91,210.68,8.32
615,1,3,10,31406.96,211.02,8.11
616,1,3,74,10604.88,211.02,8.11
617,2,3,5,51778.35,210.68,8.32
618,2,3,95,128474.22,210.68,8.32
619,2,3,34,14184.99,210.68,8.32
620,2,3,92,146492.59,210.68,8.32
621,2,3,11,17716.31,210.68,8.32
622,1,3,23,19105.92,211.02,8.11
623,2,3,90,90327.05,210.68,8.32
624,2,3,40,77709.50,210.68,8.32
625,2,3,49,15040.85,210.68,8.32
626,2,3,46,26035.14,210.68,8.32
627,2,3,9,30131.27,210.68,8.32
628,1,3,95,113117.35,211.02,8.11
629,1,3,11,17592.13,211.02,8.11
630,1,3,94,59159.95,211.02,8.11
631,1,3,55,11836.92,211.02,8.11
632,1,3,14,12832.47,211.02,8.11
633,2,3,4,41455.34,210.68,8.32
634,2,3,10,32393.51,210.68,8.32
635,1,3,90,71666.24,211.02,8.11
636,1,3,93,55082.40,211.02,8.11
637,1,3,7,16254.21,211.02,8.11
638,2,3,79,30181.38,210.68,8.32
639,2,3,96,27575.96,210.68,8.32
640,1,3,92,116688.75,211.02,8.11
641,1,3,72,40796.33,211.02,8.11
642,1,3,80,14385.66,211.02,8.11
643,1,3,13,35431.73,211.02,8.11
644,1,3,9,27897.97,211.02,8.11
645,1,3,1,26229.21,211.02,8.11
646,1,3,97,30294.48,211.02,8.11
647,2,3,91,75022.34,210.68,8.32
648,2,3,87,22366.36,210.68,8.32
649,2,3,55,12856.58,210.68,8.32
650,2,3,80,25569.44,210.68,8.32
651,2,3,93,55073.17,210.68,8.32
652,1,4,94,66172.11,210.82,7.81
653,1,4,25,14964.50,210.82,7.81
654,1,4,72,50079.67,210.82,7.81
655,1,4,49,12755.33,210.82,7.81
656,1,4,3,11157.08,210.82,7.81
657,2,4,98,16610.90,210.48,8.20
658,1,4,23,18666.57,210.82,7.81
659,1,4,56,13928.36,210.82,7.81
660,2,4,17,11679.99,210.48,8.20
661,2,4,55,12773.79,210.48,8.20
662,2,4,1,82766.07,210.48,8.20
663,2,4,72,53523.17,210.48,8.20
