,Store_ID,Month,Dept,IsHoliday,Weekly_Sales,CPI,Unemployment
338,1,3,13,0,40423.95,211.3501429,8.106
339,1,3,40,0,67000.83,211.3501429,8.106
340,1,3,74,0,13824.33,211.3501429,8.106
342,1,3,9,0,24064.7,211.3501429,8.106
343,1,3,46,0,20565.45,211.3501429,8.106
346,1,3,12,0,10239.06,211.3501429,8.106
348,1,3,87,0,30800.98,211.3501429,8.106
350,1,3,55,0,16120.04,211.3501429,8.106
354,1,3,92,0,132945.44,211.3501429,8.106
357,1,3,94,0,59201.37,211.3501429,8.106
362,1,3,3,0,10123.45,211.3806429,8.106
363,1,3,25,0,10705.75,211.3806429,8.106
364,1,3,97,0,31197.12,211.3806429,8.106
366,1,3,4,0,32668.67,211.3806429,8.106
368,1,3,81,0,29272.13,211.3806429,8.106
369,1,3,2,0,43751.94,211.3806429,8.106
372,1,3,80,0,14708.62,211.3806429,8.106
375,1,3,7,0,21529.14,211.3806429,8.106
376,1,3,79,0,31669.24,211.3806429,8.106
379,1,3,1,0,21043.39,211.3806429,8.106
380,1,3,38,0,98175.35,211.3806429,8.106
382,1,3,5,0,21498.92,211.3806429,8.106
383,1,3,72,0,45046.81,211.3806429,8.106
385,1,3,16,0,23766.82,211.3806429,8.106
386,1,3,98,0,10819.46,211.3806429,8.106
387,1,3,95,0,112048.41,211.3806429,8.106
388,1,3,49,0,13267.5,211.3806429,8.106
389,1,3,82,0,18201.88,211.3806429,8.106
390,1,3,91,0,63668.62,211.3806429,8.106
395,1,3,55,0,14410.07,211.3806429,8.106
399,1,3,46,0,18114.67,211.3806429,8.106
400,1,3,17,0,12793.17,211.3806429,8.106
401,1,3,94,0,61326.35,211.3806429,8.106
403,1,3,14,0,15331.75,211.3806429,8.106
405,1,3,22,0,10372.48,211.3806429,8.106
407,1,3,11,0,17864.32,211.3806429,8.106
408,1,3,93,0,63593.12,211.3806429,8.106
409,1,3,23,0,17426.63,211.3806429,8.106
410,1,3,9,0,25605.58,211.3806429,8.106
411,1,3,10,0,28208.0,211.3806429,8.106
414,1,3,8,0,34342.64,211.3806429,8.106
416,1,3,13,0,35833.07,211.3806429,8.106
417,1,3,92,0,124418.65,211.3806429,8.106
418,1,3,87,0,18911.79,211.3806429,8.106
420,1,3,40,0,59799.42,211.3806429,8.106
421,1,3,74,0,12253.4,211.3806429,8.106
425,1,3,12,0,12386.15,211.3806429,8.106
426,1,3,34,0,11709.0,211.3806429,8.106
429,1,3,90,0,73943.62,211.3806429,8.106
441,1,3,2,0,43615.49,211.215635,8.106
442,1,3,16,0,41742.21,211.215635,8.106
443,1,3,81,0,30287.91,211.215635,8.106
445,1,3,56,0,11836.32,211.215635,8.106
447,1,3,79,0,32604.49,211.215635,8.106
449,1,3,97,0,31733.15,211.215635,8.106
453,1,3,80,0,15871.19,211.215635,8.106
455,1,3,49,0,11201.0,211.215635,8.106
456,1,3,1,0,22136.64,211.215635,8.106
457,1,3,14,0,12738.78,211.215635,8.106
458,1,3,72,0,41069.55,211.215635,8.106
460,1,3,7,0,22711.59,211.215635,8.106
462,1,3,38,0,71165.72,211.215635,8.106
463,1,3,55,0,14590.87,211.215635,8.106
464,1,3,13,0,36807.21,211.215635,8.106
465,1,3,23,0,20132.03,211.215635,8.106
466,1,3,95,0,117716.13,211.215635,8.106
468,1,3,4,0,34118.11,211.215635,8.106
470,1,3,98,0,11323.78,211.215635,8.106
473,1,3,92,0,127434.37,211.215635,8.106
474,1,3,17,0,11097.8,211.215635,8.106
475,1,3,82,0,18348.98,211.215635,8.106
478,1,3,93,0,62781.44,211.215635,8.106
479,1,3,74,0,11792.55,211.215635,8.106
481,1,3,25,0,12213.5,211.215635,8.106
482,1,3,9,0,33367.99,211.215635,8.106
483,1,3,94,0,64718.53,211.215635,8.106
484,1,3,11,0,19738.42,211.215635,8.106
489,1,3,40,0,57384.35,211.215635,8.106
490,1,3,46,0,18317.46,211.215635,8.106
492,1,3,34,0,13394.0,211.215635,8.106
493,1,3,91,0,63250.87,211.215635,8.106
494,1,3,12,0,12917.55,211.215635,8.106
495,1,3,10,0,33731.81,211.215635,8.106
496,1,3,90,0,76760.92,211.215635,8.106
497,1,3,87,0,28002.01,211.215635,8.106
499,1,3,8,0,34188.52,211.215635,8.106
500,1,3,5,0,22632.57,211.215635,8.106
504,1,3,79,0,29223.39,211.0180424,8.106
505,1,3,4,0,33872.07,211.0180424,8.106
507,1,3,55,0,11836.92,211.0180424,8.106
514,1,3,3,0,10366.85,211.0180424,8.106
515,1,3,97,0,30294.48,211.0180424,8.106
519,1,3,91,0,55614.69,211.0180424,8.106
520,1,3,16,0,26679.52,211.0180424,8.106
521,1,3,25,0,13876.5,211.0180424,8.106
522,1,3,2,0,41892.55,211.0180424,8.106
523,1,3,23,0,19105.92,211.0180424,8.106
524,1,3,1,0,26229.21,211.0180424,8.106
526,1,3,94,0,59159.95,211.0180424,8.106
527,1,3,49,0,11310.4,211.0180424,8.106
532,1,3,13,0,35431.73,211.0180424,8.106
534,1,3,95,0,113117.35,211.0180424,8.106
536,1,3,81,0,29871.06,211.0180424,8.106
537,1,3,80,0,14385.66,211.0180424,8.106
538,1,3,14,0,12832.47,211.0180424,8.106
540,1,3,9,0,27897.97,211.0180424,8.106
542,1,3,7,0,16254.21,211.0180424,8.106
544,1,3,11,0,17592.13,211.0180424,8.106
546,1,3,74,0,10604.88,211.0180424,8.106
547,1,3,98,0,10063.69,211.0180424,8.106
549,1,3,46,0,16803.77,211.0180424,8.106
551,1,3,5,0,38971.89,211.0180424,8.106
553,1,3,12,0,11865.53,211.0180424,8.106
554,1,3,72,0,40796.33,211.0180424,8.106
555,1,3,93,0,55082.4,211.0180424,8.106
556,1,3,40,0,57837.28,211.0180424,8.106
558,1,3,38,0,95855.41,211.0180424,8.106
560,1,3,10,0,31406.96,211.0180424,8.106
562,1,3,82,0,16479.16,211.0180424,8.106
564,1,3,92,0,116688.75,211.0180424,8.106
565,1,3,87,0,23926.34,211.0180424,8.106
569,1,3,90,0,71666.24,211.0180424,8.106
572,1,4,2,0,47450.5,210.8204499,7.808
575,1,4,55,0,13435.38,210.8204499,7.808
576,1,4,3,0,11157.08,210.8204499,7.808
577,1,4,7,0,22427.62,210.8204499,7.808
578,1,4,49,0,12755.33,210.8204499,7.808
581,1,4,79,0,40910.94,210.8204499,7.808
582,1,4,72,0,50079.67,210.8204499,7.808
586,1,4,13,0,38104.53,210.8204499,7.808
590,1,4,9,0,25435.02,210.8204499,7.808
591,1,4,16,0,46060.69,210.8204499,7.808
592,1,4,4,0,37809.49,210.8204499,7.808
593,1,4,80,0,14810.01,210.8204499,7.808
595,1,4,87,0,32893.64,210.8204499,7.808
596,1,4,74,0,10625.15,210.8204499,7.808
597,1,4,95,0,111466.37,210.8204499,7.808
598,1,4,18,0,17916.41,210.8204499,7.808
600,1,4,1,0,57258.43,210.8204499,7.808
601,1,4,56,0,13928.36,210.8204499,7.808
603,1,4,25,0,14964.5,210.8204499,7.808
604,1,4,12,0,12033.5,210.8204499,7.808
605,1,4,34,0,10282.66,210.8204499,7.808
607,1,4,97,0,30149.2,210.8204499,7.808
608,1,4,11,0,21762.46,210.8204499,7.808
609,1,4,93,0,63245.0,210.8204499,7.808
611,1,4,23,0,18666.57,210.8204499,7.808
614,1,4,14,0,14333.75,210.8204499,7.808
616,1,4,40,0,62278.04,210.8204499,7.808
618,1,4,92,0,126907.41,210.8204499,7.808
619,1,4,5,0,29967.92,210.8204499,7.808
622,1,4,91,0,57845.36,210.8204499,7.808
623,1,4,38,0,101566.87,210.8204499,7.808
626,1,4,8,0,38151.58,210.8204499,7.808
627,1,4,90,0,77280.42,210.8204499,7.808
628,1,4,94,0,66172.11,210.8204499,7.808
629,1,4,81,0,29649.34,210.8204499,7.808
630,1,4,10,0,31794.04,210.8204499,7.808
637,1,4,98,0,14740.14,210.8204499,7.808
638,1,4,46,0,19053.49,210.8204499,7.808
641,1,4,82,0,17695.89,210.8204499,7.808
645,1,4,79,0,37815.5,210.6228574,7.808
646,1,4,3,0,10179.29,210.6228574,7.808
649,1,4,16,0,52976.67,210.6228574,7.808
653,1,4,34,0,13863.66,210.6228574,7.808
654,1,4,74,0,10895.18,210.6228574,7.808
655,1,4,1,0,42960.91,210.6228574,7.808
656,1,4,9,0,26113.67,210.6228574,7.808
657,1,4,13,0,37638.44,210.6228574,7.808
658,1,4,92,0,129466.97,210.6228574,7.808
663,1,4,5,0,18516.45,210.6228574,7.808
664,1,4,38,0,98689.46,210.6228574,7.808
665,1,4,95,0,116770.82,210.6228574,7.808
666,1,4,2,0,46549.73,210.6228574,7.808
667,1,4,93,0,66795.56,210.6228574,7.808
668,1,4,14,0,12874.07,210.6228574,7.808
670,1,4,40,0,59141.39,210.6228574,7.808
671,1,4,87,0,29922.64,210.6228574,7.808
674,1,4,97,0,32544.27,210.6228574,7.808
676,1,4,80,0,16418.64,210.6228574,7.808
679,1,4,23,0,21678.02,210.6228574,7.808
682,1,4,94,0,69441.1,210.6228574,7.808
683,1,4,7,0,20516.64,210.6228574,7.808
684,1,4,72,0,43346.92,210.6228574,7.808
685,1,4,12,0,10109.0,210.6228574,7.808
687,1,4,81,0,30023.4,210.6228574,7.808
689,1,4,8,0,34145.96,210.6228574,7.808
692,1,4,55,0,11185.09,210.6228574,7.808
695,1,4,98,0,12217.58,210.6228574,7.808
696,1,4,25,0,12906.0,210.6228574,7.808
698,1,4,10,0,32486.28,210.6228574,7.808
703,1,4,11,0,22186.81,210.6228574,7.808
704,1,4,4,0,36174.43,210.6228574,7.808
705,1,4,91,0,60177.2,210.6228574,7.808
708,1,4,82,0,17678.66,210.6228574,7.808
709,1,4,90,0,75592.52,210.6228574,7.808
711,1,4,46,0,17682.48,210.6228574,7.808
715,1,4,56,0,13987.13,210.6228574,7.808
723,1,4,97,0,33866.82,210.4887,7.808
724,1,4,25,0,12360.85,210.4887,7.808
725,1,4,2,0,45025.02,210.4887,7.808
726,1,4,87,0,31171.25,210.4887,7.808
727,1,4,16,0,59543.22,210.4887,7.808
730,1,4,13,0,36663.26,210.4887,7.808
731,1,4,5,0,11570.27,210.4887,7.808
734,1,4,23,0,19811.02,210.4887,7.808
737,1,4,14,0,12309.14,210.4887,7.808
738,1,4,34,0,13632.64,210.4887,7.808
739,1,4,92,0,128626.08,210.4887,7.808
740,1,4,7,0,19330.26,210.4887,7.808
743,1,4,93,0,67716.6,210.4887,7.808
746,1,4,95,0,126341.84,210.4887,7.808
749,1,4,98,0,10791.63,210.4887,7.808
751,1,4,40,0,58400.17,210.4887,7.808
752,1,4,9,0,28782.86,210.4887,7.808
753,1,4,12,0,11187.99,210.4887,7.808
755,1,4,81,0,28518.47,210.4887,7.808
757,1,4,56,0,16347.63,210.4887,7.808
758,1,4,38,0,77602.0,210.4887,7.808
759,1,4,79,0,32135.69,210.4887,7.808
762,1,4,82,0,16566.09,210.4887,7.808
763,1,4,8,0,32890.54,210.4887,7.808
764,1,4,94,0,67420.53,210.4887,7.808
765,1,4,72,0,38711.22,210.4887,7.808
769,1,4,1,0,17596.96,210.4887,7.808
771,1,4,11,0,19991.95,210.4887,7.808
777,1,4,4,0,34740.19,210.4887,7.808
778,1,4,90,0,73155.28,210.4887,7.808
780,1,4,91,0,63631.89,210.4887,7.808
783,1,4,10,0,32134.61,210.4887,7.808
787,1,4,46,0,17394.72,210.4887,7.808
788,1,4,80,0,15583.62,210.4887,7.808
790,1,4,25,0,11295.45,210.4391228,7.808
792,1,4,49,0,12738.26,210.4391228,7.808
794,1,4,72,0,42222.53,210.4391228,7.808
795,1,4,95,0,110204.77,210.4391228,7.808
796,1,4,14,0,12749.37,210.4391228,7.808
797,1,4,34,0,12504.5,210.4391228,7.808
798,1,4,13,0,36058.1,210.4391228,7.808
800,1,4,2,0,44418.11,210.4391228,7.808
801,1,4,23,0,19377.76,210.4391228,7.808
802,1,4,98,0,10156.01,210.4391228,7.808
804,1,4,97,0,29464.0,210.4391228,7.808
807,1,4,7,0,18534.4,210.4391228,7.808
811,1,4,11,0,17349.9,210.4391228,7.808
812,1,4,87,0,30756.13,210.4391228,7.808
815,1,4,16,0,51604.72,210.4391228,7.808
818,1,4,94,0,60764.62,210.4391228,7.808
820,1,4,40,0,58623.36,210.4391228,7.808
821,1,4,12,0,11556.42,210.4391228,7.808
824,1,4,1,0,16145.35,210.4391228,7.808
825,1,4,93,0,55781.92,210.4391228,7.808
828,1,4,55,0,11082.83,210.4391228,7.808
830,1,4,82,0,16204.99,210.4391228,7.808
831,1,4,46,0,17825.26,210.4391228,7.808
833,1,4,9,0,24664.06,210.4391228,7.808
835,1,4,92,0,111703.46,210.4391228,7.808
836,1,4,5,0,24763.98,210.4391228,7.808
838,1,4,91,0,56051.87,210.4391228,7.808
840,1,4,79,0,28230.72,210.4391228,7.808
844,1,4,8,0,32946.13,210.4391228,7.808
848,1,4,81,0,27455.91,210.4391228,7.808
851,1,4,10,0,29091.15,210.4391228,7.808
852,1,4,4,0,33806.71,210.4391228,7.808
855,1,4,56,0,13262.63,210.4391228,7.808
857,1,4,90,0,68521.99,210.4391228,7.808
858,1,4,38,0,87205.88,210.4391228,7.808
859,1,4,80,0,14283.64,210.4391228,7.808
861,1,4,16,0,48858.08,210.3895456,7.808
865,1,4,1,0,16555.11,210.3895456,7.808
868,1,4,13,0,36717.2,210.3895456,7.808
871,1,4,9,0,24035.42,210.3895456,7.808
872,1,4,95,0,107648.14,210.3895456,7.808
873,1,4,25,0,11435.6,210.3895456,7.808
878,1,4,14,0,12172.32,210.3895456,7.808
879,1,4,87,0,31240.73,210.3895456,7.808
881,1,4,79,0,30450.45,210.3895456,7.808
882,1,4,23,0,18274.46,210.3895456,7.808
884,1,4,2,0,45971.3,210.3895456,7.808
885,1,4,55,0,11439.61,210.3895456,7.808
887,1,4,94,0,60744.62,210.3895456,7.808
889,1,4,72,0,38131.53,210.3895456,7.808
890,1,4,12,0,10651.84,210.3895456,7.808
891,1,4,34,0,10679.49,210.3895456,7.808
894,1,4,74,0,10712.5,210.3895456,7.808
899,1,4,8,0,34168.23,210.3895456,7.808
900,1,4,40,0,57805.71,210.3895456,7.808
903,1,4,7,0,22723.48,210.3895456,7.808
905,1,4,11,0,20001.75,210.3895456,7.808
906,1,4,93,0,55901.42,210.3895456,7.808
907,1,4,38,0,127811.89,210.3895456,7.808
908,1,4,97,0,29095.46,210.3895456,7.808
912,1,4,56,0,10546.89,210.3895456,7.808
914,1,4,4,0,33437.8,210.3895456,7.808
918,1,4,92,0,109579.6,210.3895456,7.808
921,1,4,5,0,22006.41,210.3895456,7.808
922,1,4,91,0,55068.72,210.3895456,7.808
923,1,4,10,0,30666.59,210.3895456,7.808
925,1,4,80,0,13879.7,210.3895456,7.808
928,1,4,81,0,28836.25,210.3895456,7.808
929,1,4,90,0,67584.03,210.3895456,7.808
930,1,4,82,0,17115.38,210.3895456,7.808
931,1,4,46,0,18120.31,210.3895456,7.808
932,1,5,13,0,40113.4,210.3399684,7.808
933,1,5,1,0,17413.94,210.3399684,7.808
935,1,5,9,0,27588.34,210.3399684,7.808
936,1,5,14,0,14460.84,210.3399684,7.808
941,1,5,95,0,125592.28,210.3399684,7.808
942,1,5,16,0,52933.2,210.3399684,7.808
943,1,5,55,0,11062.66,210.3399684,7.808
945,1,5,94,0,67595.65,210.3399684,7.808
947,1,5,49,0,14878.8,210.3399684,7.808
948,1,5,93,0,70383.0,210.3399684,7.808
954,1,5,2,0,47903.01,210.3399684,7.808
955,1,5,10,0,32902.69,210.3399684,7.808
956,1,5,40,0,61099.85,210.3399684,7.808
958,1,5,87,0,41094.12,210.3399684,7.808
961,1,5,79,0,44039.92,210.3399684,7.808
963,1,5,23,0,22172.27,210.3399684,7.808
964,1,5,74,0,11805.33,210.3399684,7.808
966,1,5,4,0,37168.34,210.3399684,7.808
967,1,5,46,0,19219.2,210.3399684,7.808
968,1,5,90,0,76733.25,210.3399684,7.808
969,1,5,81,0,31614.83,210.3399684,7.808
973,1,5,34,0,15135.17,210.3399684,7.808
976,1,5,97,0,34449.36,210.3399684,7.808
979,1,5,67,0,17902.17,210.3399684,7.808
980,1,5,56,0,11085.84,210.3399684,7.808
981,1,5,8,0,35393.78,210.3399684,7.808
983,1,5,80,0,15356.54,210.3399684,7.808
984,1,5,5,0,19260.44,210.3399684,7.808
985,1,5,25,0,11446.25,210.3399684,7.808
986,1,5,72,0,39104.1,210.3399684,7.808
988,1,5,7,0,20457.62,210.3399684,7.808
989,1,5,11,0,28928.31,210.3399684,7.808
990,1,5,38,0,107634.21,210.3399684,7.808
991,1,5,92,0,132217.62,210.3399684,7.808
998,1,5,12,0,12761.39,210.3399684,7.808
1000,1,5,98,0,10972.91,210.3399684,7.808
1001,1,5,82,0,17893.1,210.3399684,7.808
1002,1,5,91,0,66019.35,210.3399684,7.808
1007,1,5,94,0,78903.78,210.3374261,7.808
1008,1,5,95,0,120247.9,210.3374261,7.808
1011,1,5,23,0,19986.37,210.3374261,7.808
1014,1,5,81,0,29631.17,210.3374261,7.808
1015,1,5,49,0,12803.67,210.3374261,7.808
1016,1,5,2,0,43675.61,210.3374261,7.808
1017,1,5,40,0,54394.6,210.3374261,7.808
1018,1,5,72,0,35355.34,210.3374261,7.808
1020,1,5,1,0,18926.74,210.3374261,7.808
1021,1,5,13,0,36499.93,210.3374261,7.808
1023,1,5,46,0,18294.5,210.3374261,7.808
1026,1,5,8,0,33131.69,210.3374261,7.808
1027,1,5,87,0,34298.89,210.3374261,7.808
1031,1,5,11,0,23301.17,210.3374261,7.808
1032,1,5,74,0,10565.14,210.3374261,7.808
1034,1,5,93,0,68273.13,210.3374261,7.808
1037,1,5,90,0,73925.66,210.3374261,7.808
1038,1,5,5,0,16891.66,210.3374261,7.808
1039,1,5,16,0,44148.02,210.3374261,7.808
1041,1,5,14,0,14678.22,210.3374261,7.808
1043,1,5,38,0,91179.51,210.3374261,7.808
1045,1,5,97,0,33943.35,210.3374261,7.808
1046,1,5,17,0,10266.86,210.3374261,7.808
1050,1,5,82,0,17814.39,210.3374261,7.808
1051,1,5,7,0,18771.35,210.3374261,7.808
1054,1,5,92,0,126004.12,210.3374261,7.808
1055,1,5,80,0,14806.08,210.3374261,7.808
1056,1,5,79,0,30719.18,210.3374261,7.808
1057,1,5,91,0,64325.26,210.3374261,7.808
1059,1,5,4,0,33657.7,210.3374261,7.808
1061,1,5,25,0,11247.0,210.3374261,7.808
1062,1,5,67,0,18715.88,210.3374261,7.808
